Model,ROUGE-1,ROUGE-2,ROUGE-L,Average
TF-IDF,0.15955320305972776,0.14853905258426814,0.15955320305972776,0.1558818195679079
TextRank,0.15955320305972776,0.14853905258426814,0.15955320305972776,0.1558818195679079
Seq2Seq,0.10727459041765881,0.04257013545243004,0.09698254750835945,0.0822757577928161
